time,open,high,low,last,volume,bid,ask,bsize1,asize1
2017-08-25 21:59:05.505001,278.95,280.90,276.50,277.65,88516.00,277.65,277.70,40,41
2017-08-25 21:59:06.004998,278.95,280.90,276.50,277.70,88526.00,277.65,277.70,46,34
2017-08-25 21:59:06.504995,278.95,280.90,276.50,277.70,88546.00,277.65,277.70,58,13
2017-08-25 21:59:07.005003,278.95,280.90,276.50,277.70,88548.00,277.65,277.70,59,12
2017-08-25 21:59:07.505000,278.95,280.90,276.50,277.70,88558.00,277.65,277.70,59,7
2017-08-25 21:59:08.004997,278.95,280.90,276.50,277.70,88570.00,277.65,277.70,59,1
2017-08-25 21:59:08.505005,278.95,280.90,276.50,277.70,88574.00,277.70,277.75,33,60
2017-08-25 21:59:09.005002,278.95,280.90,276.50,277.70,88580.00,277.70,277.75,24,64
2017-08-25 21:59:09.504999,278.95,280.90,276.50,277.70,88600.00,277.70,277.75,14,64
2017-08-25 21:59:10.004996,278.95,280.90,276.50,277.70,88630.00,277.65,277.70,36,41
2017-08-25 21:59:10.505004,278.95,280.90,276.50,277.70,88636.00,277.65,277.70,44,82
2017-08-25 21:59:11.005001,278.95,280.90,276.50,277.70,88780.00,277.70,277.75,1,58
2017-08-25 21:59:11.504998,278.95,280.90,276.50,277.75,88792.00,277.70,277.75,37,29
2017-08-25 21:59:12.004996,278.95,280.90,276.50,277.75,88792.00,277.70,277.75,37,30
2017-08-25 21:59:12.505003,278.95,280.90,276.50,277.70,88902.00,277.65,277.70,72,40
2017-08-25 21:59:13.005000,278.95,280.90,276.50,277.70,88978.00,277.65,277.70,68,12
2017-08-25 21:59:13.504998,278.95,280.90,276.50,277.70,88978.00,277.65,277.70,69,12
2017-08-25 21:59:14.004995,278.95,280.90,276.50,277.65,89018.00,277.65,277.70,59,2
2017-08-25 21:59:14.505002,278.95,280.90,276.50,277.70,89026.00,277.65,277.70,60,8
2017-08-25 21:59:15.005000,278.95,280.90,276.50,277.70,89056.00,277.65,277.70,60,5
2017-08-25 21:59:15.504997,278.95,280.90,276.50,277.70,89058.00,277.65,277.70,24,56
2017-08-25 21:59:16.005004,278.95,280.90,276.50,277.70,89060.00,277.65,277.70,11,75
2017-08-25 21:59:16.505001,278.95,280.90,276.50,277.65,89098.00,277.60,277.70,93,75
2017-08-25 21:59:17.004999,278.95,280.90,276.50,277.65,89098.00,277.60,277.70,94,76
2017-08-25 21:59:17.504996,278.95,280.90,276.50,277.70,89100.00,277.65,277.70,1,75
2017-08-25 21:59:18.005003,278.95,280.90,276.50,277.70,89100.00,277.65,277.70,1,76
2017-08-25 21:59:18.505001,278.95,280.90,276.50,277.65,89102.00,277.60,277.65,93,2
2017-08-25 21:59:19.004998,278.95,280.90,276.50,277.65,89130.00,277.60,277.65,96,9
2017-08-25 21:59:19.505005,278.95,280.90,276.50,277.65,89152.00,277.60,277.65,94,1
2017-08-25 21:59:20.005003,278.95,280.90,276.50,277.65,89156.00,277.60,277.65,94,9
2017-08-25 21:59:20.505000,278.95,280.90,276.50,277.65,89156.00,277.60,277.65,89,11
2017-08-25 21:59:21.004997,278.95,280.90,276.50,277.65,89156.00,277.60,277.65,89,20
2017-08-25 21:59:21.505005,278.95,280.90,276.50,277.65,89196.00,277.65,277.70,4,77
2017-08-25 21:59:22.005002,278.95,280.90,276.50,277.65,89202.00,277.65,277.70,19,77
2017-08-25 21:59:22.504999,278.95,280.90,276.50,277.65,89202.00,277.65,277.70,20,77
2017-08-25 21:59:24.005001,278.95,280.90,276.50,277.70,89204.00,277.65,277.70,20,76
2017-08-25 21:59:24.504998,278.95,280.90,276.50,277.70,89210.00,277.65,277.70,20,73
2017-08-25 21:59:25.004996,278.95,280.90,276.50,277.65,89252.00,277.60,277.65,89,8
2017-08-25 21:59:25.505003,278.95,280.90,276.50,277.65,89252.00,277.60,277.65,53,49
2017-08-25 21:59:26.005000,278.95,280.90,276.50,277.65,89264.00,277.60,277.65,48,55
2017-08-25 21:59:26.504998,278.95,280.90,276.50,277.65,89266.00,277.60,277.65,46,58
2017-08-25 21:59:27.005005,278.95,280.90,276.50,277.65,89274.00,277.60,277.65,46,51
2017-08-25 21:59:27.505002,278.95,280.90,276.50,277.65,89274.00,277.60,277.65,36,64
2017-08-25 21:59:28.004999,278.95,280.90,276.50,277.65,89274.00,277.60,277.65,35,66
2017-08-25 21:59:28.504997,278.95,280.90,276.50,277.65,89290.00,277.60,277.65,30,63
2017-08-25 21:59:29.005004,278.95,280.90,276.50,277.65,89292.00,277.60,277.65,30,62
2017-08-25 21:59:30.004999,278.95,280.90,276.50,277.65,89294.00,277.60,277.65,30,56
2017-08-25 21:59:31.005003,278.95,280.90,276.50,277.60,89298.00,277.60,277.65,28,57
2017-08-25 21:59:31.505001,278.95,280.90,276.50,277.60,89298.00,277.60,277.65,28,55
2017-08-25 21:59:32.004998,278.95,280.90,276.50,277.65,89302.00,277.60,277.65,63,24
2017-08-25 21:59:32.504995,278.95,280.90,276.50,277.65,89336.00,277.65,277.70,4,60
2017-08-25 21:59:33.005003,278.95,280.90,276.50,277.65,89344.00,277.65,277.70,10,66
2017-08-25 21:59:33.505000,278.95,280.90,276.50,277.65,89346.00,277.65,277.70,26,31
2017-08-25 21:59:34.004997,278.95,280.90,276.50,277.65,89346.00,277.65,277.70,29,24
2017-08-25 21:59:34.505004,278.95,280.90,276.50,277.70,89348.00,277.65,277.70,31,13
2017-08-25 21:59:35.005002,278.95,280.90,276.50,277.70,89348.00,277.65,277.70,32,18
2017-08-25 21:59:35.504999,278.95,280.90,276.50,277.70,89348.00,277.65,277.70,68,13
2017-08-25 21:59:36.004996,278.95,280.90,276.50,277.70,89374.00,277.65,277.75,68,63
2017-08-25 21:59:36.505004,278.95,280.90,276.50,277.70,89374.00,277.70,277.75,6,60
2017-08-25 21:59:37.005001,278.95,280.90,276.50,277.70,89374.00,277.70,277.75,14,65
2017-08-25 21:59:37.504998,278.95,280.90,276.50,277.70,89374.00,277.70,277.75,29,63
2017-08-25 21:59:38.005006,278.95,280.90,276.50,277.70,89374.00,277.70,277.75,29,61
2017-08-25 21:59:38.505003,278.95,280.90,276.50,277.75,89376.00,277.70,277.75,29,60
2017-08-25 21:59:39.005000,278.95,280.90,276.50,277.70,89380.00,277.70,277.75,32,60
2017-08-25 21:59:40.005005,278.95,280.90,276.50,277.70,89380.00,277.70,277.75,32,65
2017-08-25 21:59:40.505002,278.95,280.90,276.50,277.75,89382.00,277.70,277.75,32,64
2017-08-25 21:59:41.004999,278.95,280.90,276.50,277.70,89390.00,277.70,277.75,19,63
2017-08-25 21:59:41.504997,278.95,280.90,276.50,277.70,89390.00,277.70,277.75,18,65
2017-08-25 21:59:42.005004,278.95,280.90,276.50,277.70,89390.00,277.70,277.75,18,66
2017-08-25 21:59:42.505001,278.95,280.90,276.50,277.75,89392.00,277.70,277.75,15,66
2017-08-25 21:59:43.004999,278.95,280.90,276.50,277.70,89422.00,277.65,277.70,61,91
2017-08-25 21:59:43.504996,278.95,280.90,276.50,277.70,89422.00,277.65,277.70,61,108
2017-08-25 21:59:44.005003,278.95,280.90,276.50,277.70,89422.00,277.65,277.70,58,111
2017-08-25 21:59:45.004998,278.95,280.90,276.50,277.70,89424.00,277.65,277.70,58,110
2017-08-25 21:59:45.505005,278.95,280.90,276.50,277.65,89450.00,277.60,277.70,85,111
2017-08-25 21:59:46.005002,278.95,280.90,276.50,277.65,89450.00,277.60,277.65,82,2
2017-08-25 21:59:46.505000,278.95,280.90,276.50,277.60,89456.00,277.60,277.65,84,2
2017-08-25 21:59:47.505004,278.95,280.90,276.50,277.65,89460.00,277.60,277.65,84,2
2017-08-25 21:59:48.005002,278.95,280.90,276.50,277.65,89460.00,277.60,277.65,84,6
2017-08-25 21:59:48.504999,278.95,280.90,276.50,277.65,89460.00,277.60,277.65,84,16
2017-08-25 21:59:49.004996,278.95,280.90,276.50,277.60,89472.00,277.60,277.65,78,19
2017-08-25 21:59:49.505004,278.95,280.90,276.50,277.65,89474.00,277.60,277.65,76,32
2017-08-25 21:59:50.005001,278.95,280.90,276.50,277.65,89474.00,277.60,277.65,40,45
2017-08-25 21:59:50.504998,278.95,280.90,276.50,277.65,89504.00,277.60,277.65,30,42
2017-08-25 21:59:51.004995,278.95,280.90,276.50,277.60,89528.00,277.60,277.65,18,42
2017-08-25 21:59:51.505003,278.95,280.90,276.50,277.65,89570.00,277.55,277.65,52,47
2017-08-25 21:59:52.005000,278.95,280.90,276.50,277.55,89706.00,277.55,277.65,26,12
2017-08-25 21:59:52.504997,278.95,280.90,276.50,277.55,89706.00,277.60,277.65,1,40
2017-08-25 21:59:53.005005,278.95,280.90,276.50,277.60,89708.00,277.55,277.60,31,14
2017-08-25 21:59:53.505002,278.95,280.90,276.50,277.60,89722.00,277.55,277.60,41,40
2017-08-25 21:59:54.004999,278.95,280.90,276.50,277.60,89746.00,277.55,277.60,29,41
2017-08-25 21:59:54.504997,278.95,280.90,276.50,277.55,89754.00,277.55,277.60,27,41
2017-08-25 21:59:55.005004,278.95,280.90,276.50,277.55,89758.00,277.55,277.60,26,42
2017-08-25 21:59:55.505001,278.95,280.90,276.50,277.60,89830.00,277.50,277.55,85,2
2017-08-25 21:59:56.004998,278.95,280.90,276.50,277.60,89874.00,277.55,277.60,18,28
2017-08-25 21:59:56.504996,278.95,280.90,276.50,277.60,89928.00,277.55,277.60,7,9
2017-08-25 21:59:57.005003,278.95,280.90,276.50,277.60,89928.00,277.55,277.60,36,14
2017-08-25 21:59:57.505000,278.95,280.90,276.50,277.55,89948.00,277.55,277.60,38,22
2017-08-25 21:59:58.004998,278.95,280.90,276.50,277.60,90026.00,277.55,277.60,22,21
2017-08-25 21:59:58.504995,278.95,280.90,276.50,277.55,90088.00,277.55,277.60,14,30
2017-08-25 21:59:59.005002,278.95,280.90,276.50,277.55,90126.00,277.50,277.55,84,19
2017-08-25 21:59:59.505000,278.95,280.90,276.50,277.55,90132.00,277.50,277.55,87,35
2017-08-25 22:00:00.004997,278.95,280.90,276.50,277.55,90168.00,277.50,277.55,79,23
2017-08-25 22:00:00.505004,278.95,280.90,276.50,277.45,90400.00,277.45,277.50,16,7
2017-08-25 22:00:01.005002,278.95,280.90,276.50,277.50,90578.00,277.45,277.50,5,26
2017-08-25 22:00:01.504999,278.95,280.90,276.50,277.50,90580.00,277.45,277.50,10,21
2017-08-25 22:00:02.004996,278.95,280.90,276.50,277.50,90612.00,277.45,277.50,10,22
2017-08-25 22:00:02.505003,278.95,280.90,276.50,277.35,90668.00,277.35,277.45,37,3
2017-08-25 22:00:03.005001,278.95,280.90,276.50,277.40,90900.00,277.40,277.45,5,15
2017-08-25 22:00:03.504998,278.95,280.90,276.50,277.45,90978.00,277.40,277.45,21,11
2017-08-25 22:00:04.005005,278.95,280.90,276.50,277.35,91034.00,277.35,277.40,28,6
2017-08-25 22:00:04.505003,278.95,280.90,276.50,277.40,91088.00,277.30,277.40,18,18
2017-08-25 22:00:05.005000,278.95,280.90,276.50,277.35,91104.00,277.30,277.35,13,14
2017-08-25 22:00:05.504997,278.95,280.90,276.50,277.35,91176.00,277.30,277.40,10,6
2017-08-25 22:00:06.005005,278.95,280.90,276.50,277.35,91176.00,277.35,277.40,8,15
2017-08-25 22:00:06.505002,278.95,280.90,276.50,277.30,91206.00,277.30,277.40,17,15
2017-08-25 22:00:07.004999,278.95,280.90,276.50,277.40,91226.00,277.30,277.40,20,13
2017-08-25 22:00:07.504996,278.95,280.90,276.50,277.30,91232.00,277.30,277.40,26,12
2017-08-25 22:00:08.005004,278.95,280.90,276.50,277.40,91268.00,277.35,277.40,8,3
2017-08-25 22:00:08.505001,278.95,280.90,276.50,277.45,91312.00,277.45,277.50,4,9
2017-08-25 22:00:09.004998,278.95,280.90,276.50,277.50,91328.00,277.45,277.50,12,19
2017-08-25 22:00:09.504996,278.95,280.90,276.50,277.50,91354.00,277.45,277.50,27,10
2017-08-25 22:00:10.005003,278.95,280.90,276.50,277.55,91388.00,277.45,277.50,27,6
2017-08-25 22:00:10.505000,278.95,280.90,276.50,277.55,91454.00,277.50,277.55,13,1
2017-08-25 22:00:11.004998,278.95,280.90,276.50,277.55,91464.00,277.55,277.60,6,40
2017-08-25 22:00:11.505005,278.95,280.90,276.50,277.55,91520.00,277.55,277.60,2,31
2017-08-25 22:00:12.005002,278.95,280.90,276.50,277.55,91524.00,277.55,277.60,6,31
2017-08-25 22:00:12.504999,278.95,280.90,276.50,277.60,91542.00,277.55,277.60,3,28
2017-08-25 22:00:13.004997,278.95,280.90,276.50,277.55,91586.00,277.55,277.65,8,15
2017-08-25 22:00:13.505004,278.95,280.90,276.50,277.55,91586.00,277.55,277.65,20,14
2017-08-25 22:00:14.005001,278.95,280.90,276.50,277.55,91598.00,277.55,277.65,23,34
2017-08-25 22:00:14.504999,278.95,280.90,276.50,277.55,91598.00,277.55,277.60,25,19
2017-08-25 22:00:15.004996,278.95,280.90,276.50,277.55,91638.00,277.50,277.60,16,21
2017-08-25 22:00:15.505003,278.95,280.90,276.50,277.55,91640.00,277.50,277.55,11,20
2017-08-25 22:00:16.005001,278.95,280.90,276.50,277.55,91708.00,277.50,277.55,31,12
2017-08-25 22:00:16.504998,278.95,280.90,276.50,277.55,91722.00,277.50,277.55,34,8
2017-08-25 22:00:17.004995,278.95,280.90,276.50,277.55,91738.00,277.50,277.55,42,1
2017-08-25 22:00:17.505003,278.95,280.90,276.50,277.55,91774.00,277.55,277.60,7,47
2017-08-25 22:00:18.005000,278.95,280.90,276.50,277.55,91774.00,277.55,277.60,16,45
